time,open,high,low,close,Upper Band,Lower Band,Upper Band Extended,Lower Band Extended,Fibonacci 23.6% Up,Fibonacci 38.2% Up,Fibonacci 50.0% Up,Fibonacci 61.8% Up,Fibonacci 23.6% Down,Fibonacci 38.2% Down,Fibonacci 50.0% Down,Fibonacci 61.8% Down
1626897600,31998.143446608785,32638.7722496,31745.8719,32202.373897100002,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626912000,32100.258671854393,32778.98,32100.258671854393,32474.898837,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626926400,32287.578754427195,32746.363899,32257.321158,32470.99425275,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626940800,32379.2865035886,32638.6222872,32100.007806,32393.218880575,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626955200,32386.252692081798,32809.6788,32069.724937,32472.552240049998,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626969600,32429.402466065898,32803.012395,32429.402466065898,32650.677437500002,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626984000,32540.03995178295,32770.7055906,32375.75,32605.448504825003,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1626998400,32572.744228303978,33175.9097288,32568.461716,32836.296421499996,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627012800,32704.520324901987,33305.2266862,32704.520324901987,33006.461284425,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627027200,32855.490804663496,33010.5563336,32558.619492,32803.02792175,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627041600,32829.259363206744,32986.5979122,32627.788,32749.199787799997,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627056000,32789.22957550337,32789.22957550337,32310.214,32597.940069875003,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627070400,32693.584822689187,33944.656563,32582.629497,33275.916883,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627084800,32984.75085284459,34070.994706,32984.75085284459,33908.94784325,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627099200,33446.8493480473,34267.7352,33446.8493480473,34074.963792250004,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627113600,33760.906570148654,34430.175,33760.906570148654,34200.19498375,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627128000,33980.55077694933,34430.175,33980.55077694933,34255.98434825,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627142400,34118.26756259966,34875.94277,34065.253248,34334.88427825,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627156800,34226.57592042483,34615.956693,33991.868,34338.11660075,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627171200,34282.346260587416,34768.096868,34197.04308,34516.64773725,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627185600,34399.49699891871,35142.3205,34399.49699891871,34778.83388775,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627200000,34589.16544333435,35163.5083,34589.16544333435,34916.12052325,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627214400,34752.64298329217,34828.611579,34241.184848,34595.6308305,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627228800,34674.136906896085,34981.681663,34441.22908,34671.265236499996,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627243200,34672.701071698044,35672.19,34672.701071698044,35192.890202375,45175.31799777073,21006.398813829263,47592.20991616488,18589.506895435115,35942.790869505094,37707.12196993282,39133.088201785366,40559.05443363791,30238.925942094906,28474.594841667178,27048.62860981463,25622.662377962082
1627257600,34932.79563703652,39681.5905129,34932.79563703652,37324.651667825005,44981.5081539244,21586.58471622561,47321.00049769427,19247.092372455732,36044.647400723465,37752.47681167547,39132.7772944997,40513.07777732393,30523.445469426548,28815.616058474538,27435.315575650307,26055.015092826077
